date,rocket_times,rocket_counts,carousel_times, carousel_counts
1/02/2020,41,165,71,378
2/02/2020,43,158,64,344
5/02/2020,4,7,9,21
6/02/2020,71,350,54,179
7/02/2020,23,51,31,85
8/02/2020,80,608,69,273
9/02/2020,37,125,29,87
12/02/2020,12,33,11,25
13/02/2020,7,25,7,11
14/02/2020,18,48,16,46
15/02/2020,75,421,65,267
16/02/2020,68,442,44,199
19/02/2020,10,26,6,12
20/02/2020,7,10,7,24
21/02/2020,38,123,19,56
22/02/2020,72,114,54,142
23/02/2020,75,447,67,295
26/02/2020,26,115,10,29
27/02/2020,9,19,9,18
28/02/2020,26,59,18,40
29/02/2020,74,460,61,244
